little snow white brothers grimm.txt, 71.86, 79.06, 87.62, 86.23, 74.05, 70.85, 67.49, 75.12, 74.81, 71.97
loving laili indian writer.txt, 116.4, 101.1, 96.66, 116.1, 105.3, 106.9, 129.6, 110.7, 97.82, 94.61
maid maleen brothers grimm.txt, 56.21, 54.30, 57.11, 52.42, 43.34, 50.61, 34.62, 35.09, 44.54, 54.69
master pfriem master cobbler s awl brothers grimm.txt, 31.31, 37.21, 35.43, 33.01, 36.38, 30.92, 34.93, 37.48, 35.75, 41.39
momotaro or the story of the son of a peach japanese writer.txt, 136.5, 119.1, 131.4, 114.6, 112.4, 106.5, 113.9, 121.3, 113.2, 119.9
mother holle brothers grimm.txt, 28.42, 25.86, 27.22, 32.78, 28.76, 30.05, 29.54, 23.47, 28.14, 28.25
mrs. tiggy winkle s beatrix potter.txt, 15.00, 14.13, 18.04, 18.57, 18.62, 13.84, 16.27, 18.27, 18.44, 15.69
my lord bag of rice japanese writer.txt, 56.61, 57.96, 51.39, 58.43, 64.64, 54.64, 61.58, 62.69, 60.74, 64.83
neighbour peter s mare la fontain.txt, 46.79, 48.08, 39.58, 45.60, 42.84, 48.42, 37.94, 41.65, 38.79, 43.24
nicaise la fontain.txt, 55.58, 57.76, 58.10, 45.20, 52.32, 57.06, 51.05, 44.95, 45.31, 47.80
nineteenth evening h c andersen.txt, 10.22, 12.05, 12.81, 10.73, 10.71, 15.40, 13.62, 9.610, 12.70, 10.53
ninth evening h c andersen.txt, 17.04, 17.40, 15.44, 14.17, 12.94, 16.42, 14.57, 11.41, 17.66, 15.95
odds and ends brothers grimm.txt, 4.618, 4.207, 3.180, 7.281, 7.764, 7.349, 5.713, 5.604, 4.838, 5.519
old rinkrank brothers grimm.txt, 18.76, 16.67, 22.08, 19.25, 18.13, 11.67, 16.51, 17.22, 14.60, 22.41
old sultan brothers grimm.txt, 20.85, 22.93, 21.33, 22.05, 24.41, 18.45, 22.11, 20.69, 19.87, 26.54
ole the tower keeper h c andersen.txt, 6.584, 11.26, 10.73, 13.30, 12.55, 8.695, 11.86, 13.03, 9.846, 11.83
one eye two eyes and three eyes brothers grimm.txt, 63.70, 60.55, 74.34, 65.29, 68.02, 62.76, 72.61, 67.39, 70.78, 75.93
our lady s child brothers grimm.txt, 53.66, 52.07, 43.26, 44.45, 45.55, 48.47, 47.41, 41.31, 44.29, 43.75
prince ahmed and the fairy arabian writer.txt, 273.8, 312.1, 273.6, 288.3, 294.9, 310.1, 281.6, 299.8, 286.3, 252.3
prince beder and the princess giauhara arabian writer.txt, 406.7, 377.1, 405.2, 405.3, 417.4, 424.2, 384.4, 398.7, 398.1, 393.7
prince camaralzaman and the princess of china arabian writer.txt, 372.4, 358.3, 350.2, 336.2, 362.1, 360.8, 371.6, 375.3, 373.8, 362.0
punchkin indian writer.txt, 136.4, 128.0, 127.8, 115.5, 141.4, 135.5, 140.3, 138.8, 140.1, 117.1
raja rasalu indian writer.txt, 104.7, 97.37, 91.62, 81.15, 91.51, 96.85, 87.94, 84.01, 86.39, 88.62
rapunzel brothers grimm.txt, 46.20, 28.04, 30.82, 39.75, 37.94, 31.86, 37.43, 30.61, 29.77, 31.70
richard minutolo la fontain.txt, 56.76, 52.21, 55.21, 47.67, 49.85, 44.99, 49.31, 44.64, 51.29, 53.02
rumpelstiltskin brothers grimm.txt, 30.44, 23.76, 26.98, 32.79, 29.99, 27.64, 25.36, 23.53, 33.14, 24.14
samurai japanese writer.txt, 11.37, 10.70, 13.28, 13.10, 14.67, 13.76, 10.50, 12.37, 16.48, 17.30
seventh evening h c andersen.txt, 20.61, 14.52, 21.85, 20.46, 19.16, 23.29, 16.77, 19.76, 19.94, 19.06
sharing joy and sorrow brothers grimm.txt, 9.628, 7.656, 10.82, 6.833, 5.744, 10.25, 10.94, 6.497, 8.153, 10.03
she was good for nothing h c andersen.txt, 77.35, 79.55, 75.86, 79.30, 78.00, 86.11, 76.09, 71.72, 87.06, 81.39
simeli mountain brothers grimm.txt, 22.21, 21.15, 22.28, 25.11, 20.98, 23.91, 21.88, 24.61, 20.52, 16.22
sister jane la fontain.txt, 0.000, 3.322, 0.7710, 0.9580, 1.869, 1.926, 2.373, 1.658, 2.680, 3.948
snow white and rose red brothers grimm.txt, 65.23, 72.66, 58.11, 63.17, 63.37, 57.31, 62.17, 62.43, 60.63, 66.53
something h c andersen.txt, 75.76, 77.85, 73.33, 84.79, 80.34, 69.76, 74.07, 79.72, 72.91, 64.44
soup on a sausage peg h c andersen.txt, 157.3, 163.0, 146.4, 137.0, 150.7, 143.2, 153.0, 147.5, 134.1, 139.6
st. julian s prayer la fontain.txt, 85.46, 75.11, 71.17, 77.58, 92.49, 89.72, 94.06, 92.99, 85.85, 82.10
stories about snakes brothers grimm.txt, 12.99, 12.95, 16.69, 15.31, 15.35, 13.37, 15.35, 12.62, 11.84, 9.626
strong hans brothers grimm.txt, 70.78, 66.65, 68.14, 72.53, 64.19, 58.04, 65.20, 64.72, 59.84, 67.79
sweet porridge brothers grimm.txt, 6.521, 7.324, 7.278, 7.539, 7.701, 8.407, 6.942, 6.320, 6.582, 6.939
sweetheart roland brothers grimm.txt, 42.02, 36.40, 38.75, 30.75, 41.42, 39.51, 34.16, 43.92, 40.03, 43.47
tenth evening h c andersen.txt, 12.58, 11.95, 12.90, 12.03, 13.61, 10.76, 10.60, 13.88, 11.59, 9.530
the adventures of kintaro the golden boy japanese writer.txt, 66.98, 76.80, 63.25, 68.27, 71.02, 70.38, 70.43, 62.35, 73.39, 76.86
the amorous courtesan la fontain.txt, 70.79, 72.84, 72.42, 66.04, 68.01, 72.19, 59.04, 65.28, 75.82, 76.32
the avaricious wife and tricking gallant la fontain.txt, 16.01, 16.13, 15.34, 16.08, 19.89, 15.92, 16.82, 17.79, 13.84, 13.06
the bamboo cutter and the moon child japanese writer.txt, 174.0, 151.5, 155.5, 148.2, 151.3, 144.8, 135.8, 132.4, 147.9, 142.7
