fatty coon plays robber arthur scott bailey.txt, 0.8528, 0.5394, 0.7068, 0.000, 0.8158, 0.5537, 0.4788, 1.000, 0.6875, 0.1364
fatty coon s mistake arthur scott bailey.txt, 0.4792, 0.000, 0.3554, 0.7777, 1.000, 0.6383, 0.6459, 0.1970, 0.3451, 0.01232
fatty discovers mrs. turtle s secret arthur scott bailey.txt, 0.000, 0.8596, 1.000, 0.1482, 0.09610, 0.3436, 0.4156, 0.2433, 0.8287, 0.5243
fatty finds the moon arthur scott bailey.txt, 0.9018, 0.8310, 0.9321, 0.7269, 0.09111, 0.1203, 0.000, 0.3706, 0.8377, 1.000
fatty grows even fatter arthur scott bailey.txt, 0.1211, 0.7073, 0.2470, 0.8132, 0.2568, 0.4894, 0.4567, 0.000, 1.000, 0.7604
fatty learns something about eggs arthur scott bailey.txt, 0.7452, 0.7414, 0.1653, 0.9143, 1.000, 0.1251, 0.6851, 0.3375, 0.000, 0.8261
fatty meets jimmy rabbit arthur scott bailey.txt, 0.000, 0.9401, 1.000, 0.3572, 0.4923, 0.2927, 0.2233, 0.1302, 0.4805, 0.2703
fatty visits the smoke house arthur scott bailey.txt, 0.9495, 0.2435, 1.000, 0.5803, 0.7264, 0.8207, 0.1481, 0.2836, 0.1795, 0.000
ferdinand the faithful brothers grimm.txt, 0.8332, 1.000, 0.5739, 0.4132, 0.1234, 0.000, 0.6872, 0.5037, 0.6736, 0.1735
feronde la fontain.txt, 0.4806, 1.000, 0.9861, 0.3480, 0.1545, 0.1001, 0.000, 0.06818, 0.6951, 0.8640
fifth evening h c andersen.txt, 0.1077, 0.3623, 0.000, 0.3943, 0.2567, 0.6941, 0.2948, 0.4810, 1.000, 0.3245
fitcher s bird brothers grimm.txt, 1.000, 0.3754, 0.7506, 0.000, 0.8687, 0.6920, 0.3356, 0.4730, 0.05352, 0.4300
forty fat turkeys arthur scott bailey.txt, 0.000, 0.8402, 0.07215, 1.000, 0.8614, 0.4122, 0.5332, 0.5254, 0.4142, 0.6603
fourteenth evening h c andersen.txt, 0.000, 0.6581, 0.5371, 0.5077, 0.7888, 0.6551, 0.2155, 0.5933, 0.9648, 1.000
fourth evening h c andersen.txt, 0.2933, 1.000, 0.01602, 0.000, 0.6108, 0.2353, 0.2545, 0.4709, 0.1387, 0.3170
frau trude brothers grimm.txt, 0.4993, 1.000, 0.8746, 0.3895, 0.3588, 0.5103, 0.000, 0.1458, 0.9668, 0.5392
frederick and catherine brothers grimm.txt, 0.8554, 0.8351, 0.9399, 0.7147, 1.000, 0.8913, 0.9492, 0.000, 0.5500, 0.7184
friar philip s geese la fontain.txt, 0.04946, 0.4963, 0.5968, 0.6296, 0.5891, 0.000, 0.3107, 0.7252, 1.000, 0.4841
fundevogel bird foundling brothers grimm.txt, 0.9245, 1.000, 0.000, 0.4630, 0.7837, 0.6501, 0.7766, 0.07813, 0.5080, 0.2628
gambling hansel brothers grimm.txt, 0.7498, 0.9375, 0.6433, 0.7964, 1.000, 0.6371, 0.3664, 0.000, 0.2965, 0.4879
godfather death brothers grimm.txt, 1.000, 0.000, 0.8827, 0.2124, 0.4234, 0.04533, 0.6597, 0.2648, 0.8299, 0.7316
going a travelling brothers grimm.txt, 0.9528, 0.1756, 0.06820, 0.8197, 0.8529, 0.6320, 1.000, 0.1737, 0.000, 0.8398
good humour h c andersen.txt, 0.4619, 0.1376, 0.5778, 0.1523, 0.000, 0.3188, 0.8964, 1.000, 0.3865, 0.02956
hans carvel s ring la fontain.txt, 0.1040, 0.000, 0.3824, 0.2080, 0.5327, 0.5321, 0.6223, 0.7469, 1.000, 0.5525
